t,t_sec,p_base_x,p_base_y,p_base_z,q_base_x,q_base_y,q_base_z,q_base_w,v_base_x,v_base_y,v_base_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11
1.100000000000000000e+01,5.500000000000000028e-02,-1.335906285354252709e+00,-3.630829841202740105e-01,5.944514432051665187e-01,1.578544192494015820e-03,4.026906385864780467e-03,-8.581233904870915197e-01,5.178243282757338806e-01,3.251922996220010798e-01,7.115866941091244513e-01,1.075624172758541525e-01,-9.433980000000000143e-02,8.185259999999999758e-01,-1.408579999999999943e+00,9.991529999999999856e-02,3.174009999999999887e-01,-1.434460000000000068e+00,-1.622629999999999906e-01,4.782040000000000179e-01,-1.530380000000000074e+00,6.026770000000000044e-02,8.402079999999999549e-01,-1.355269999999999975e+00
1.200000000000000000e+01,5.999999999999999778e-02,-1.334291020056469934e+00,-3.595458005226624398e-01,5.949973687127587674e-01,1.485535303730935869e-03,4.146395314902438095e-03,-8.583795379781830048e-01,5.173989422130659266e-01,3.209149451001702125e-01,7.032865085185570075e-01,1.108078440959894134e-01,-9.403010000000000534e-02,8.130389999999999562e-01,-1.408900000000000041e+00,9.951699999999999435e-02,3.293490000000000029e-01,-1.462250000000000050e+00,-1.620409999999999906e-01,4.889560000000000017e-01,-1.554859999999999909e+00,6.009069999999999689e-02,8.346329999999999583e-01,-1.356090000000000018e+00
1.300000000000000000e+01,6.500000000000000222e-02,-1.332712405388070787e+00,-3.560549923932745942e-01,5.955389637216147447e-01,1.440269048986286696e-03,4.239942261471010658e-03,-8.586009531247232873e-01,5.170307997016108104e-01,3.105307533149819776e-01,6.930373931036396540e-01,1.058302770586927594e-01,-9.256979999999999376e-02,8.043219999999999814e-01,-1.408409999999999940e+00,9.818949999999999900e-02,3.527120000000000255e-01,-1.505279999999999951e+00,-1.618640000000000079e-01,5.078070000000000084e-01,-1.593150000000000066e+00,5.978100000000000080e-02,8.260490000000000332e-01,-1.355890000000000040e+00
1.400000000000000000e+01,7.000000000000000666e-02,-1.331159296740613396e+00,-3.526299004497083223e-01,5.960562064337416865e-01,1.461113609897825598e-03,4.335135624818323326e-03,-8.588118928858486933e-01,5.166794948670243581e-01,3.107110015872219799e-01,6.769979976774602726e-01,1.010663207845007849e-01,-9.159639999999999449e-02,7.962249999999999606e-01,-1.408150000000000013e+00,9.841080000000000660e-02,3.804119999999999724e-01,-1.548040000000000083e+00,-1.618640000000000079e-01,5.290909999999999780e-01,-1.629969999999999919e+00,5.902879999999999933e-02,8.165790000000000548e-01,-1.355329999999999924e+00
1.500000000000000000e+01,7.499999999999999722e-02,-1.329611549327518016e+00,-3.492602022983390397e-01,5.965548100298347922e-01,1.326938882319045462e-03,4.622945396712982609e-03,-8.590112500268489715e-01,5.163458491829449049e-01,3.083912685581235436e-01,6.708788221963656317e-01,9.837496442067678037e-02,-9.044589999999999574e-02,7.906050000000000022e-01,-1.408179999999999987e+00,9.841080000000000660e-02,3.998820000000000152e-01,-1.576770000000000005e+00,-1.618640000000000079e-01,5.459939999999999793e-01,-1.653759999999999897e+00,5.854199999999999682e-02,8.102960000000000163e-01,-1.355269999999999975e+00
1.600000000000000000e+01,8.000000000000000167e-02,-1.328065783602602856e+00,-3.459153631068259127e-01,5.970499262448032418e-01,1.168021790274717617e-03,4.926906393537951352e-03,-8.592127679631933468e-01,5.160080200148046137e-01,3.099194677385837537e-01,6.670536633042375430e-01,9.967114983777927706e-02,-8.818910000000000637e-02,7.814889999999999892e-01,-1.408179999999999987e+00,9.832230000000000136e-02,4.319189999999999974e-01,-1.620090000000000030e+00,-1.617319999999999869e-01,5.736499999999999932e-01,-1.688830000000000053e+00,5.778980000000000228e-02,8.008260000000000378e-01,-1.355609999999999982e+00
1.700000000000000000e+01,8.500000000000000611e-02,-1.326517442465383834e+00,-3.425960735856739547e-01,5.975517401227863346e-01,9.744946837380409144e-04,5.264098267530924538e-03,-8.593687099854069311e-01,5.157453402209692950e-01,3.094220746181019499e-01,6.606590153233888874e-01,1.010540586153949039e-01,-8.681740000000000290e-02,7.760470000000000423e-01,-1.408179999999999987e+00,9.836649999999999561e-02,4.536009999999999764e-01,-1.648719999999999963e+00,-1.614659999999999984e-01,5.926329999999999654e-01,-1.711549999999999905e+00,5.725879999999999859e-02,7.947199999999999820e-01,-1.355669999999999931e+00
1.800000000000000000e+01,8.999999999999999667e-02,-1.324970234768890087e+00,-3.393228304652391447e-01,5.980634100422467236e-01,8.064856287517712568e-04,5.524408172386468564e-03,-8.595605404785893189e-01,5.154231308153676139e-01,3.094643259723978135e-01,6.486358824387903343e-01,1.036133629632739472e-01,-8.544569999999999943e-02,7.678160000000000540e-01,-1.408120000000000038e+00,9.805679999999999952e-02,4.891329999999999845e-01,-1.689079999999999915e+00,-1.609790000000000110e-01,6.219259999999999788e-01,-1.744669999999999943e+00,5.708180000000000198e-02,7.862240000000000339e-01,-1.355639999999999956e+00
1.900000000000000000e+01,9.500000000000000111e-02,-1.323429591696773322e+00,-3.360820014930581134e-01,5.985663103472478319e-01,7.941137058755906629e-04,5.864981723040164213e-03,-8.597414644802119366e-01,5.151175415944556635e-01,3.067954720916281630e-01,6.476919345098737235e-01,9.754683953013018605e-02,-8.464919999999999389e-02,7.621520000000000516e-01,-1.408090000000000064e+00,9.810099999999999376e-02,5.139129999999999532e-01,-1.713750000000000107e+00,-1.610679999999999890e-01,6.411740000000000217e-01,-1.765349999999999975e+00,5.712600000000000317e-02,7.803390000000000049e-01,-1.355609999999999982e+00
2.000000000000000000e+01,1.000000000000000056e-01,-1.321900093730626002e+00,-3.328472206313415893e-01,5.990440873947373568e-01,7.900628043173148034e-04,6.163674370423649282e-03,-8.599205849934404844e-01,5.148149846844441990e-01,3.050059218683025541e-01,6.462168104762100462e-01,9.356395376637618999e-02,-8.380849999999999411e-02,7.538780000000000481e-01,-1.407950000000000035e+00,9.783550000000000579e-02,5.521000000000000352e-01,-1.746380000000000043e+00,-1.604039999999999910e-01,6.731669999999999598e-01,-1.793940000000000090e+00,5.712600000000000317e-02,7.711350000000000149e-01,-1.355499999999999927e+00
2.100000000000000000e+01,1.049999999999999961e-01,-1.320379345914726832e+00,-3.296191238369044485e-01,5.994841908804692254e-01,8.529559742919905858e-04,6.352264059666147718e-03,-8.600820970499404305e-01,5.145427130702403540e-01,3.032936328629818323e-01,6.450196412658473211e-01,8.247739345899038343e-02,-8.310049999999999382e-02,7.482579999999999787e-01,-1.407780000000000031e+00,9.730450000000000210e-02,5.787830000000000474e-01,-1.764869999999999939e+00,-1.601390000000000036e-01,6.948490000000000499e-01,-1.811190000000000078e+00,5.694899999999999962e-02,7.650730000000000031e-01,-1.355439999999999978e+00
2.200000000000000000e+01,1.100000000000000006e-01,-1.318858865675929248e+00,-3.263994976624705613e-01,5.998623010213247619e-01,9.293439143032608237e-04,6.539286604675021049e-03,-8.602381020129783451e-01,5.142793773113834011e-01,3.048986093082193261e-01,6.428283221285353566e-01,6.876650618608433352e-02,-8.212700000000000555e-02,7.396300000000000097e-01,-1.407350000000000101e+00,9.717180000000000262e-02,6.205979999999999830e-01,-1.788790000000000102e+00,-1.599619999999999931e-01,7.286559999999999704e-01,-1.834109999999999907e+00,5.650650000000000117e-02,7.561350000000000016e-01,-1.355329999999999924e+00
